"mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"alpha[1]",-32.7285794188356,6.70802778425153,-48.9056031423532,-36.1377482784199,-32.9377774939792,-29.3741404603822,-19.8112677952653,1.3338962413805,10
"alpha[2]",-14.5200658490566,2.4552725598715,-19.2942508722678,-16.187015307463,-14.3865903429441,-12.8424116731897,-9.79406630679683,1.07381417565107,38
"beta[1]",0.27025028113424,0.0521953090725315,0.171519030386129,0.24327542232856,0.272263756158443,0.29793841682369,0.399841921287961,1.25466910559209,12
"beta[2]",0.135614320188634,0.0226658770908041,0.0929740232587919,0.120178014420615,0.134432765842016,0.150461414224642,0.180871757144353,1.06023298237515,43
"deviance",162.709447163407,7.32888906087045,148.12818198947,157.835825055035,162.792428305815,167.607141089579,177.095435434083,1.13382657772385,20
"pp[1,1]",2.66266901134026e-10,1.48196210935112e-09,8.63114532377825e-22,2.72169724349846e-16,6.53383980982985e-15,2.22792686355786e-13,2.95907392648537e-09,1.33417044076864,10
"pp[2,1]",7.65287859850378e-06,4.00745863844081e-05,4.97175990296059e-09,1.08211520940051e-07,6.47437002961322e-07,2.98708667029368e-06,6.09363596251323e-05,1.07383169659554,38
"pp[3,1]",0.999992346855135,4.00747116395634e-05,0.999939063291169,0.999997012911473,0.999999352562844,0.999999891788332,0.99999999502824,1,1
"pp[1,2]",3.15174197836194e-10,1.7444787288368e-09,1.28426053597777e-21,3.66866480045018e-16,8.61682700911173e-15,2.85418312983593e-13,3.51751644827898e-09,1.334446945402,10
"pp[2,2]",8.39438972661224e-06,4.30622630825713e-05,5.90788531242138e-09,1.25396280125674e-07,7.41828296435859e-07,3.36300840430463e-06,6.68054916021767e-05,1.07384794975903,38
"pp[3,2]",0.999991605295099,4.30624127465565e-05,0.999933193678948,0.999996636990401,0.999999258170164,0.999999874603696,0.999999994092114,1,1
"pp[1,3]",3.73102309399602e-10,2.053696200654e-09,1.91892415364604e-21,4.90071294965405e-16,1.13488717314437e-14,3.64916615259213e-13,4.18127999079382e-09,1.33472608317696,10
"pp[2,3]",9.21082927818476e-06,4.62835268477982e-05,7.02027240651509e-09,1.45342206271481e-07,8.49352104087671e-07,3.7921365810042e-06,7.34443303102546e-05,1.07386347313733,38
"pp[3,3]",0.999990788797619,4.62837057023925e-05,0.999926554390102,0.999996204214408,0.999999150639945,0.99999985465779,0.999999992979726,1,1
"pp[1,4]",4.41722418757155e-10,2.41795880136119e-09,2.87724352520531e-21,6.5256804501905e-16,1.49757284598051e-14,4.64627814399757e-13,4.96935259332762e-09,1.33500787077263,10
"pp[2,4]",1.0110070768557e-05,4.97576921754475e-05,8.34210923961808e-09,1.69161612779018e-07,9.65930707740934e-07,4.28859996877553e-06,8.07428545998918e-05,1.07387821762305,38
"pp[3,4]",0.999989889487509,4.97579059435639e-05,0.999919255248804,0.99999571134486,0.999999032326503,0.999999830838083,0.999999991657887,1,1
"pp[1,5]",5.23016744076908e-10,2.84710841661374e-09,4.31415190268157e-21,8.77850204856133e-16,1.96809825189127e-14,5.99221739350496e-13,5.90595819045225e-09,1.33529232384403,10
